442,102,332,170,66,489,272,829,686,651,149,322,849,266,523,775,328,141,416,1041
24,1088,697,722,669,688,93,808,720,337,126,902,292,716,375,863,455,358,316,87
103,738,1053,204,510,81,846,63,848,106,770,629,926,422,758,282,533,936,783,326
57,250,260,969,492,1040,663,736,27,735,720,802,562,297,669,234,507,194,739,270
769,691,372,1073,736,259,562,711,218,274,803,765,702,953,238,884,49,785,422,524
858,948,168,1059,562,938,804,470,895,274,375,923,312,37,99,954,136,398,114,284
494,33,18,356,456,276,1084,597,548,58,775,194,214,697,305,968,610,844,373,177
682,96,544,593,883,1042,146,510,612,790,543,212,36,566,152,333,356,6,376,410
325,890,730,478,54,733,992,433,215,369,191,743,473,549,558,637,856,766,487,538
653,209,616,508,273,293,152,212,989,902,134,394,624,588,403,32,258,361,928,840
355,410,42,871,559,554,851,423,841,58,953,372,836,603,628,396,451,204,298,74
584,744,20,773,840,515,767,375,190,629,32,377,827,443,269,113,836,51,297,586
894,265,778,603,18,254,122,187,34,763,907,1092,724,537,498,15,797,168,61,245
729,693,109,144,0,823,279,513,220,436,660,588,1050,649,374,839,703,684,637,825
148,530,995,299,456,957,318,385,933,273,428,219,368,100,789,378,312,359,561,636
11,381,435,1046,496,824,529,674,720,813,93,729,308,715,172,794,344,103,659,92
923,1055,261,354,925,778,482,586,457,162,403,639,325,281,584,772,26,39,750,547
809,67,337,939,478,454,186,273,1033,367,683,29,197,24,974,69,851,957,424,458
0,90,240,598,449,511,394,490,844,608,253,1082,10,832,386,864,341,459,626,328
830,816,933,773,458,791,651,777,492,464,996,972,639,822,633,711,50,606,868,927
262,613,318,361,324,241,959,231,170,792,777,244,753,11,832,1062,906,393,898,728
93,516,597,519,99,201,1017,710,547,678,113,790,76,479,465,548,934,192,161,151
168,294,657,271,516,1019,580,43,1,681,704,77,677,749,3,63,811,241,709,497
873,429,859,776,496,266,735,186,595,649,98,555,407,506,963,925,139,39,792,867
532,761,298,799,793,551,825,139,957,547,110,433,441,459,121,297,307,479,563,945
51,421,678,348,373,862,953,499,184,340,763,249,505,235,816,123,260,712,29,189
542,573,451,98,48,41,390,736,483,855,50,616,726,211,663,118,819,731,648,424
757,137,482,797,350,824,91,815,65,21,11,1049,642,12,710,475,725,22,476,673
293,51,690,923,763,863,56,474,421,453,706,6,737,79,974,1037,415,716,272,909
470,355,536,354,702,711,123,53,774,714,874,761,138,755,786,365,558,701,277,400
